#{"t_start": 1650205426.4450464, "env_id": "PandaStack-v1"}
r,l,t,is_success
-100.0,100,7.383072,0.0
-40.0,100,10.560936,1.0
-100.0,100,13.740901,0.0
0.0,100,17.034194,1.0
-100.0,100,20.203942,0.0
-100.0,100,23.612333,0.0
-67.0,100,26.800688,0.0
-100.0,100,30.009763,0.0
-100.0,100,33.539892,0.0
-100.0,100,37.045179,0.0
-100.0,100,40.379282,0.0
-100.0,100,43.588398,0.0
-100.0,100,46.738781,0.0
0.0,100,49.949265,1.0
-100.0,100,53.163625,0.0
-100.0,100,56.368067,0.0
-100.0,100,59.521092,0.0
0.0,100,62.649433,1.0
-73.0,100,65.867096,0.0
-100.0,100,69.141089,0.0
-100.0,100,72.285154,0.0
-100.0,100,75.489937,0.0
0.0,100,78.534396,1.0
-100.0,100,81.717874,0.0
0.0,100,84.900698,1.0
-100.0,100,88.23703,0.0
-9.0,100,91.524901,1.0
-100.0,100,94.751119,0.0
0.0,100,97.907836,1.0
-96.0,100,101.155024,0.0
-100.0,100,104.179336,0.0
-100.0,100,107.329921,0.0
-100.0,100,110.524775,0.0
-100.0,100,113.978776,0.0
-100.0,100,117.46512,0.0
-100.0,100,120.83134,0.0
-100.0,100,124.189919,0.0
-54.0,100,127.401068,1.0
-100.0,100,130.62831,0.0
-100.0,100,133.807613,0.0
-100.0,100,137.111618,0.0
-100.0,100,140.30503,0.0
0.0,100,143.610703,1.0
-100.0,100,147.014818,0.0
-100.0,100,150.248113,0.0
-100.0,100,153.464096,0.0
-100.0,100,156.709171,0.0
-100.0,100,159.882415,0.0
-9.0,100,163.238449,1.0
-100.0,100,166.610058,0.0
-100.0,100,170.00727,0.0
0.0,100,173.520244,1.0
-100.0,100,176.874298,0.0
-100.0,100,180.136513,0.0
0.0,100,183.393665,1.0
-100.0,100,186.865086,0.0
-100.0,100,189.918097,0.0
-100.0,100,192.723932,0.0
-56.0,100,196.23117,0.0
-100.0,100,199.594161,0.0
-100.0,100,202.91198,0.0
0.0,100,206.142827,1.0
-100.0,100,209.515783,0.0
-100.0,100,212.725816,0.0
-100.0,100,216.097234,0.0
-100.0,100,219.390877,0.0
-85.0,100,222.730627,0.0
-100.0,100,226.181139,0.0
-100.0,100,229.486792,0.0
-100.0,100,232.832074,0.0
