#{"t_start": 1650367064.477532, "env_id": "PandaPickAndPlaceClutteredMoreObj-v1"}
r,l,t,is_success
-50.0,50,9.142839,0.0
-50.0,50,9.362151,0.0
-50.0,50,11.368658,0.0
-50.0,50,13.399381,0.0
-50.0,50,15.565667,0.0
-50.0,50,17.87611,0.0
-50.0,50,20.247758,0.0
-50.0,50,22.734834,0.0
-50.0,50,25.263366,0.0
-50.0,50,27.743834,0.0
-50.0,50,30.163765,0.0
-50.0,50,32.590779,0.0
-50.0,50,35.040846,0.0
-50.0,50,37.483108,0.0
-50.0,50,40.027512,0.0
-50.0,50,42.442727,0.0
-50.0,50,44.884402,0.0
-50.0,50,47.377797,0.0
-50.0,50,49.720659,0.0
-50.0,50,52.213838,0.0
-50.0,50,54.710353,0.0
-50.0,50,57.246383,0.0
-50.0,50,59.805768,0.0
-50.0,50,62.281167,0.0
-50.0,50,64.640108,0.0
-50.0,50,67.076271,0.0
-50.0,50,69.525745,0.0
-50.0,50,71.95874,0.0
-50.0,50,74.38186,0.0
-50.0,50,76.770477,0.0
-50.0,50,79.214789,0.0
-50.0,50,81.751405,0.0
-50.0,50,84.229055,0.0
-50.0,50,86.609354,0.0
-50.0,50,88.946095,0.0
-50.0,50,91.12075,0.0
-50.0,50,93.171794,0.0
-50.0,50,95.204326,0.0
-50.0,50,97.211896,0.0
-50.0,50,99.322111,0.0
-50.0,50,101.270204,0.0
-50.0,50,103.15227,0.0
-50.0,50,105.097189,0.0
-50.0,50,107.051172,0.0
-50.0,50,109.012772,0.0
-50.0,50,111.052479,0.0
-50.0,50,113.076072,0.0
-50.0,50,114.9528,0.0
-50.0,50,116.629327,0.0
-50.0,50,118.631356,0.0
-50.0,50,121.23434,0.0
-50.0,50,123.845308,0.0
-50.0,50,126.216969,0.0
-50.0,50,128.684593,0.0
-50.0,50,131.096692,0.0
-50.0,50,133.506189,0.0
-50.0,50,135.98243,0.0
-50.0,50,138.464784,0.0
-50.0,50,140.852648,0.0
-50.0,50,143.316353,0.0
-50.0,50,145.743169,0.0
-50.0,50,148.107004,0.0
-50.0,50,150.941212,0.0
-50.0,50,153.493174,0.0
-50.0,50,156.006075,0.0
-50.0,50,158.488735,0.0
-50.0,50,160.942862,0.0
-50.0,50,163.500735,0.0
-50.0,50,166.049143,0.0
-50.0,50,168.589844,0.0
