#{"t_start": 1650361728.4323614, "env_id": "PandaPickAndPlaceClutteredMoreObj-v1"}
r,l,t,is_success
-85.0,50,10.351528,0.0
-85.0,50,10.61481,0.0
-85.0,50,13.365161,0.0
-85.0,50,15.894392,0.0
-85.0,50,18.461246,0.0
-85.0,50,20.96085,0.0
-84.3,50,23.508486,0.0
-85.0,50,26.126679,0.0
-85.0,50,28.692582,0.0
-85.0,50,31.28916,0.0
-85.0,50,33.866505,0.0
-85.0,50,36.54971,0.0
-82.9,50,39.202707,0.0
-84.3,50,41.777504,0.0
-85.0,50,44.422102,0.0
-85.0,50,46.977932,0.0
-85.0,50,49.46765,0.0
-85.0,50,52.113667,0.0
-85.0,50,54.660538,0.0
-85.0,50,57.256363,0.0
-85.0,50,60.034979,0.0
-85.0,50,62.74516,0.0
-85.0,50,65.286067,0.0
-85.0,50,67.959174,0.0
-85.0,50,70.628469,0.0
-85.0,50,73.387696,0.0
-85.0,50,75.851102,0.0
-84.3,50,78.374863,0.0
-85.0,50,80.94476,0.0
-85.0,50,83.274904,0.0
-85.0,50,85.67982,0.0
-82.2,50,88.017816,0.0
-84.3,50,90.34886,0.0
-85.0,50,92.64352,0.0
-85.0,50,94.909784,0.0
-85.0,50,96.903752,0.0
-85.0,50,98.965279,0.0
-85.0,50,101.068116,0.0
-85.0,50,102.981685,0.0
-85.0,50,104.967921,0.0
-85.0,50,106.892099,0.0
-85.0,50,108.868356,0.0
-84.3,50,110.94615,0.0
-85.0,50,112.793798,0.0
-85.0,50,114.78576,0.0
-85.0,50,116.869816,0.0
-85.0,50,119.477995,0.0
-85.0,50,122.005682,0.0
-85.0,50,124.677125,0.0
-85.0,50,127.315963,0.0
-85.0,50,129.934631,0.0
-85.0,50,132.554221,0.0
-85.0,50,135.154399,0.0
-85.0,50,137.800017,0.0
-85.0,50,140.484707,0.0
-85.0,50,143.1307,0.0
-85.0,50,145.859511,0.0
-85.0,50,148.447144,0.0
-85.0,50,150.999545,0.0
-85.0,50,153.421505,0.0
-85.0,50,155.944287,0.0
-85.0,50,158.525946,0.0
-85.0,50,161.062593,0.0
-85.0,50,163.957494,0.0
-85.0,50,166.632625,0.0
-85.0,50,169.208726,0.0
-85.0,50,171.889426,0.0
-85.0,50,174.487821,0.0
-85.0,50,177.099406,0.0
-85.0,50,179.682394,0.0
-85.0,50,182.363672,0.0
-85.0,50,184.944846,0.0
-85.0,50,187.565209,0.0
-85.0,50,190.150611,0.0
-85.0,50,192.535034,0.0
-85.0,50,194.739561,0.0
-85.0,50,196.983872,0.0
-85.0,50,199.332348,0.0
-85.0,50,201.607159,0.0
-85.0,50,203.909803,0.0
-85.0,50,206.462462,0.0
-85.0,50,209.119377,0.0
-85.0,50,211.69954,0.0
-85.0,50,214.360026,0.0
-85.0,50,216.974644,0.0
-84.3,50,219.539465,0.0
-85.0,50,222.076065,0.0
-85.0,50,224.81022,0.0
-85.0,50,227.277683,0.0
-85.0,50,230.010241,0.0
-85.0,50,232.50174,0.0
-85.0,50,235.39904,0.0
-85.0,50,237.947139,0.0
-85.0,50,240.594856,0.0
-85.0,50,243.273545,0.0
-85.0,50,246.012559,0.0
-85.0,50,248.651317,0.0
-85.0,50,251.209612,0.0
-85.0,50,253.918348,0.0
-85.0,50,256.558452,0.0
-85.0,50,259.051522,0.0
-85.0,50,261.641578,0.0
-85.0,50,264.25514,0.0
-85.0,50,266.840819,0.0
-85.0,50,269.510205,0.0
-85.0,50,272.266028,0.0
-85.0,50,274.867882,0.0
-85.0,50,277.335315,0.0
-84.3,50,280.002931,0.0
-85.0,50,282.315124,0.0
-85.0,50,284.732376,0.0
-85.0,50,287.092992,0.0
-85.0,50,289.514641,0.0
-85.0,50,291.879516,0.0
-85.0,50,294.172818,0.0
-85.0,50,296.866133,0.0
-84.3,50,299.593877,0.0
-85.0,50,302.140243,0.0
-85.0,50,304.738233,0.0
-85.0,50,307.412648,0.0
-85.0,50,310.007696,0.0
-85.0,50,312.448187,0.0
-85.0,50,315.115307,0.0
-85.0,50,317.738253,0.0
-85.0,50,320.373627,0.0
-85.0,50,323.013009,0.0
-85.0,50,325.746886,0.0
-85.0,50,328.325518,0.0
-83.6,50,330.911613,0.0
-85.0,50,333.588535,0.0
-85.0,50,336.264243,0.0
-85.0,50,338.954199,0.0
-85.0,50,341.467518,0.0
-85.0,50,344.012916,0.0
-85.0,50,346.485769,0.0
-85.0,50,349.139604,0.0
-85.0,50,351.717512,0.0
-85.0,50,354.294471,0.0
-85.0,50,356.928727,0.0
-85.0,50,359.647194,0.0
-85.0,50,362.131122,0.0
-85.0,50,364.69355,0.0
-85.0,50,367.328342,0.0
-75.9,50,369.871508,0.0
-85.0,50,372.029744,0.0
-85.0,50,374.326612,0.0
-85.0,50,376.683414,0.0
-85.0,50,378.983397,0.0
-85.0,50,381.223611,0.0
-85.0,50,383.570776,0.0
-85.0,50,386.187257,0.0
-85.0,50,388.767911,0.0
-85.0,50,391.632299,0.0
-85.0,50,394.437497,0.0
-85.0,50,397.073239,0.0
-85.0,50,399.673148,0.0
-85.0,50,402.417809,0.0
-85.0,50,405.087626,0.0
-82.9,50,407.766212,0.0
-85.0,50,410.337672,0.0
-85.0,50,412.964986,0.0
-85.0,50,415.568296,0.0
-85.0,50,418.318272,0.0
-85.0,50,420.984211,0.0
-85.0,50,423.65512,0.0
-85.0,50,426.378825,0.0
-85.0,50,429.039564,0.0
-85.0,50,431.533478,0.0
-85.0,50,434.151305,0.0
-85.0,50,436.743313,0.0
-85.0,50,439.385298,0.0
-85.0,50,441.902081,0.0
-85.0,50,444.586046,0.0
-85.0,50,447.147724,0.0
-85.0,50,449.850606,0.0
-85.0,50,452.434398,0.0
-85.0,50,455.025143,0.0
-85.0,50,457.536265,0.0
-85.0,50,459.99252,0.0
-85.0,50,462.343472,0.0
-85.0,50,464.610051,0.0
-85.0,50,467.113803,0.0
-85.0,50,469.420619,0.0
-85.0,50,471.667831,0.0
-85.0,50,474.030822,0.0
-85.0,50,476.632162,0.0
-85.0,50,479.192809,0.0
-85.0,50,481.938044,0.0
-85.0,50,484.438962,0.0
-85.0,50,487.068493,0.0
-85.0,50,489.712369,0.0
-85.0,50,492.40474,0.0
-85.0,50,494.867314,0.0
-85.0,50,497.405582,0.0
-85.0,50,499.947283,0.0
-85.0,50,502.595728,0.0
-85.0,50,505.129391,0.0
-85.0,50,507.729277,0.0
-85.0,50,510.434201,0.0
-85.0,50,513.043114,0.0
-85.0,50,515.711632,0.0
-85.0,50,518.276153,0.0
-85.0,50,520.875994,0.0
-85.0,50,523.550978,0.0
-85.0,50,526.185279,0.0
-85.0,50,529.04484,0.0
-85.0,50,531.49826,0.0
-85.0,50,534.061324,0.0
-85.0,50,536.667811,0.0
-85.0,50,539.41442,0.0
-85.0,50,541.952082,0.0
-85.0,50,544.562629,0.0
-85.0,50,547.317899,0.0
-85.0,50,549.706283,0.0
-85.0,50,551.991982,0.0
-85.0,50,554.177826,0.0
-85.0,50,556.600818,0.0
-85.0,50,558.995171,0.0
-85.0,50,561.295424,0.0
-85.0,50,563.777095,0.0
-85.0,50,566.53696,0.0
-85.0,50,569.005285,0.0
-85.0,50,571.701748,0.0
-85.0,50,574.465244,0.0
-85.0,50,577.292673,0.0
-85.0,50,579.941841,0.0
-85.0,50,582.559839,0.0
-85.0,50,585.044979,0.0
-85.0,50,587.552156,0.0
-85.0,50,590.107774,0.0
-85.0,50,592.658131,0.0
-85.0,50,595.292442,0.0
-85.0,50,597.994062,0.0
-85.0,50,600.772962,0.0
-85.0,50,603.360651,0.0
-85.0,50,605.941967,0.0
-85.0,50,608.647415,0.0
-85.0,50,611.226269,0.0
-85.0,50,614.326374,0.0
-85.0,50,616.892288,0.0
-61.2,50,619.500717,0.0
-85.0,50,621.932,0.0
-85.0,50,624.551761,0.0
-85.0,50,627.224556,0.0
-85.0,50,629.896757,0.0
-85.0,50,632.632332,0.0
-85.0,50,635.356741,0.0
-85.0,50,637.962085,0.0
-85.0,50,640.37855,0.0
-85.0,50,642.70247,0.0
-85.0,50,644.94398,0.0
-85.0,50,647.386198,0.0
-85.0,50,649.602383,0.0
-85.0,50,652.015786,0.0
-85.0,50,654.638491,0.0
-85.0,50,657.260808,0.0
-85.0,50,659.905863,0.0
-85.0,50,662.512459,0.0
-85.0,50,665.214258,0.0
-85.0,50,667.726679,0.0
-85.0,50,670.347155,0.0
-85.0,50,672.893362,0.0
-85.0,50,675.502673,0.0
-85.0,50,678.115093,0.0
-85.0,50,680.855182,0.0
-85.0,50,683.381348,0.0
-85.0,50,685.964547,0.0
-85.0,50,688.564373,0.0
-85.0,50,691.123966,0.0
-85.0,50,693.822573,0.0
-85.0,50,696.38962,0.0
-84.3,50,698.936394,0.0
-85.0,50,701.465559,0.0
-85.0,50,703.958482,0.0
-85.0,50,706.63424,0.0
-85.0,50,709.081083,0.0
-85.0,50,711.70168,0.0
-85.0,50,714.263094,0.0
-85.0,50,716.865438,0.0
-84.3,50,719.493121,0.0
-85.0,50,722.121832,0.0
-85.0,50,724.695898,0.0
-85.0,50,727.028535,0.0
-85.0,50,729.383606,0.0
-85.0,50,731.790158,0.0
-83.6,50,734.010136,0.0
-85.0,50,736.319968,0.0
-85.0,50,738.601946,0.0
-85.0,50,740.896414,0.0
-84.3,50,743.308922,0.0
-85.0,50,745.850722,0.0
-85.0,50,748.480642,0.0
-85.0,50,751.1807,0.0
-85.0,50,753.710816,0.0
-85.0,50,756.294805,0.0
-85.0,50,758.741247,0.0
-85.0,50,761.286628,0.0
-85.0,50,763.991138,0.0
-85.0,50,766.550823,0.0
-85.0,50,769.028647,0.0
-85.0,50,771.693364,0.0
-85.0,50,774.139912,0.0
-85.0,50,776.741314,0.0
-85.0,50,779.292888,0.0
-85.0,50,781.859774,0.0
-85.0,50,784.491397,0.0
-85.0,50,786.970495,0.0
-85.0,50,789.676859,0.0
-84.3,50,792.239769,0.0
-85.0,50,794.868724,0.0
-85.0,50,797.487697,0.0
-85.0,50,800.087054,0.0
-85.0,50,802.670536,0.0
-85.0,50,805.336283,0.0
-85.0,50,808.137551,0.0
-85.0,50,810.744865,0.0
-85.0,50,813.296312,0.0
-85.0,50,815.698539,0.0
-85.0,50,818.000901,0.0
-78.7,50,820.271909,0.0
-85.0,50,822.515429,0.0
-85.0,50,824.781053,0.0
-85.0,50,827.015779,0.0
-85.0,50,829.401111,0.0
-85.0,50,831.990858,0.0
-85.0,50,834.621034,0.0
-85.0,50,837.166667,0.0
-85.0,50,839.830205,0.0
-85.0,50,842.369109,0.0
-85.0,50,844.84015,0.0
-85.0,50,847.408804,0.0
-85.0,50,849.902066,0.0
-85.0,50,852.395683,0.0
-85.0,50,854.894269,0.0
-85.0,50,857.355983,0.0
-85.0,50,859.841343,0.0
-85.0,50,862.372997,0.0
-85.0,50,864.876116,0.0
-85.0,50,867.463823,0.0
-85.0,50,870.061854,0.0
-85.0,50,872.818268,0.0
-85.0,50,875.244139,0.0
-82.9,50,877.75107,0.0
-85.0,50,880.395342,0.0
-85.0,50,882.981237,0.0
-85.0,50,885.561044,0.0
-85.0,50,888.133502,0.0
-85.0,50,890.678372,0.0
-85.0,50,893.263992,0.0
-85.0,50,895.922337,0.0
-85.0,50,898.510548,0.0
-85.0,50,901.1304,0.0
-85.0,50,903.380066,0.0
-85.0,50,905.543539,0.0
-85.0,50,907.726279,0.0
-85.0,50,909.958003,0.0
-85.0,50,912.265693,0.0
-84.3,50,914.433593,0.0
-85.0,50,916.929587,0.0
-85.0,50,919.528084,0.0
-85.0,50,922.043136,0.0
-85.0,50,924.51811,0.0
-85.0,50,927.24528,0.0
-85.0,50,929.699965,0.0
