#{"t_start": 1645573012.22021, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-56.988098,50,6.845946,0.0
-54.839705,50,7.123683,0.0
-62.333167,50,9.65734,0.0
-54.81026,50,11.874195,0.0
-54.571343,50,14.201483,0.0
-55.546978,50,16.663327,0.0
-57.220808,50,18.909876,0.0
-58.360371,50,21.143945,0.0
-54.286835,50,23.46378,0.0
-54.537235,50,25.773665,0.0
-52.3945,50,28.205815,0.0
-55.129232,50,30.506879,0.0
-56.106054,50,32.679769,0.0
-59.688856,50,34.968766,0.0
-55.625555,50,37.175859,0.0
-57.489453,50,39.272186,0.0
-58.255863,50,41.399119,0.0
-55.26336,50,43.767493,0.0
-54.843512,50,45.987477,0.0
-56.30962,50,48.36804,0.0
-54.02223,50,50.844717,0.0
-55.951152,50,53.111967,0.0
-56.119148,50,55.431831,0.0
-55.13865,50,57.583879,0.0
-58.53598,50,59.845181,0.0
-54.517989,50,61.89145,0.0
-58.420091,50,64.144034,0.0
-57.99833,50,66.378984,0.0
-56.642059,50,68.575582,0.0
-58.576972,50,70.941668,0.0
-55.965443,50,73.03688,0.0
-55.737063,50,75.318283,0.0
-54.582238,50,77.361584,0.0
-61.290613,50,79.302521,0.0
-55.023642,50,81.117861,0.0
-56.010878,50,83.041451,0.0
-54.598366,50,85.118812,0.0
-53.61653,50,87.295232,0.0
-56.944084,50,89.580379,0.0
-57.120381,50,91.76572,0.0
-55.278682,50,94.208985,0.0
-52.147086,50,96.675728,0.0
-54.427076,50,99.115957,0.0
-55.138939,50,101.654964,0.0
-57.352011,50,104.14224,0.0
-58.595312,50,106.494717,0.0
-55.056908,50,108.596635,0.0
-59.208143,50,110.636004,0.0
-57.515038,50,112.972364,0.0
-55.688024,50,115.193534,0.0
-60.274591,50,117.471931,0.0
-56.410053,50,119.600004,0.0
-54.933184,50,121.776706,0.0
-52.550278,50,123.904202,0.0
-54.876389,50,126.111985,0.0
-54.274398,50,128.487156,0.0
-56.760822,50,130.925137,0.0
-54.38345,50,133.108344,0.0
-56.56984,50,135.501058,0.0
-57.390225,50,137.612854,0.0
-54.315039,50,139.969234,0.0
-56.667414,50,142.644197,0.0
-55.392722,50,145.106237,0.0
-56.760395,50,147.65252,0.0
-52.970452,50,150.034629,0.0
-54.155202,50,152.248449,0.0
-56.724459,50,154.440752,0.0
-5.589039,50,156.887581,1.0
-56.263058,50,159.310941,0.0
-53.62855,50,161.891408,0.0
-56.590842,50,164.121329,0.0
-58.869475,50,166.526112,0.0
-52.878489,50,168.904933,0.0
-52.592201,50,171.085037,0.0
-55.19614,50,173.588612,0.0
-56.446226,50,176.034749,0.0
-57.436252,50,178.445704,0.0
-58.965048,50,180.790013,0.0
-56.261948,50,183.215957,0.0
-54.026986,50,185.677222,0.0
-53.686515,50,188.004037,0.0
-56.690539,50,190.429466,0.0
-57.129107,50,192.865808,0.0
-72.092618,50,195.145432,0.0
-57.718611,50,197.29609,0.0
-56.463442,50,199.469593,0.0
-53.294401,50,201.651154,0.0
-56.673733,50,204.086061,0.0
-51.787674,50,206.184906,0.0
-58.034802,50,208.374225,0.0
-55.045731,50,210.796134,0.0
-58.263232,50,213.15838,0.0
-53.003914,50,215.453819,0.0
-54.914901,50,217.840453,0.0
-60.124881,50,220.436588,0.0
-58.772041,50,222.724528,0.0
-61.243467,50,225.09159,0.0
-54.109589,50,227.54851,0.0
-57.3334,50,230.034177,0.0
-55.528405,50,232.278432,0.0
-53.412013,50,239.547822,0.0
-57.197081,50,242.023464,0.0
-55.83587,50,244.282982,0.0
-54.434809,50,246.755419,0.0
-60.322565,50,249.227521,0.0
-55.605906,50,251.866276,0.0
-55.92632,50,254.017326,0.0
-57.881636,50,256.344416,0.0
-55.331655,50,258.666866,0.0
-54.921839,50,260.974376,0.0
-56.733908,50,263.302962,0.0
-57.783477,50,265.639812,0.0
-57.746924,50,267.632713,0.0
-58.314512,50,269.96639,0.0
-53.735462,50,272.212251,0.0
-53.556073,50,274.419912,0.0
-56.035449,50,276.657935,0.0
-56.267484,50,278.962912,0.0
-52.256907,50,281.280146,0.0
-55.620205,50,283.534084,0.0
-51.291053,50,285.72094,0.0
-58.831841,50,288.045949,0.0
-52.746336,50,290.411474,0.0
-57.714743,50,292.910112,0.0
-54.37933,50,295.031476,0.0
-56.923938,50,297.486276,0.0
-55.795912,50,299.923938,0.0
-52.608998,50,302.308497,0.0
-56.027615,50,304.479012,0.0
-52.554068,50,306.874273,0.0
-59.304727,50,309.266542,0.0
-54.462744,50,311.550993,0.0
-59.159032,50,313.798839,0.0
-55.240983,50,315.731466,0.0
-28.795603,50,317.875445,1.0
-67.255538,50,319.998949,0.0
-58.006631,50,322.000101,0.0
-34.899034,50,324.145289,0.0
-57.477838,50,326.196642,0.0
-59.02143,50,328.362615,0.0
-54.322401,50,330.500757,0.0
-57.952826,50,333.06029,0.0
-52.110468,50,335.340524,0.0
-55.4727,50,337.910964,0.0
-55.601585,50,340.235857,0.0
-51.215867,50,342.62499,0.0
-56.89025,50,345.008785,0.0
-55.410828,50,347.160601,0.0
-58.419044,50,348.895054,0.0
-56.965193,50,350.928837,0.0
-51.331626,50,352.688699,0.0
-52.568231,50,354.584328,0.0
-56.5726,50,356.671901,0.0
-83.8686,50,359.122568,0.0
-57.376602,50,361.534048,0.0
-60.372302,50,363.816673,0.0
-55.441675,50,366.069533,0.0
-54.660866,50,368.326848,0.0
-56.111935,50,370.543836,0.0
-58.126419,50,372.748642,0.0
-8.225594,50,375.148272,1.0
-52.952817,50,377.326196,0.0
-57.656326,50,379.334168,0.0
-55.54722,50,381.453345,0.0
-61.811103,50,383.615675,0.0
-52.573841,50,385.972209,0.0
-57.370685,50,388.100313,0.0
-55.009692,50,390.558855,0.0
-55.119627,50,392.990481,0.0
-52.719851,50,395.324927,0.0
-53.074947,50,398.027616,0.0
-55.627975,50,400.510393,0.0
-52.010711,50,402.826479,0.0
-57.547611,50,405.15994,0.0
-52.39231,50,407.686539,0.0
-58.450183,50,410.115828,0.0
-64.746965,50,412.659963,0.0
-57.624986,50,415.093202,0.0
-54.190901,50,417.514956,0.0
-56.781194,50,420.002793,0.0
-59.11627,50,422.438327,0.0
-57.059032,50,425.072557,0.0
-59.446892,50,427.453643,0.0
-58.364077,50,429.537947,0.0
-9.359725,50,431.836406,1.0
-56.467462,50,434.088164,0.0
-56.019122,50,436.335617,0.0
-54.066953,50,438.652769,0.0
-57.720825,50,440.883558,0.0
-75.967713,50,443.098289,0.0
-56.788538,50,445.520558,0.0
-5.950512,50,447.771007,1.0
-51.970613,50,450.032832,0.0
-57.460197,50,452.343365,0.0
-55.331543,50,454.703914,0.0
-56.94326,50,457.13126,0.0
-56.882668,50,459.58743,0.0
-57.838029,50,461.863061,0.0
-56.774856,50,464.153261,0.0
-62.748107,50,466.530025,0.0
-57.978719,50,474.101407,0.0
-57.641084,50,476.28333,0.0
-58.400545,50,478.473548,0.0
-56.630817,50,480.642712,0.0
-53.013118,50,483.169204,0.0
-57.697733,50,485.766939,0.0
-56.598403,50,488.391463,0.0
-56.930309,50,490.79637,0.0
-59.519094,50,493.154785,0.0
-56.780711,50,495.901843,0.0
-58.186122,50,498.062779,0.0
-56.704977,50,500.55404,0.0
-53.108801,50,502.749714,0.0
-57.605643,50,505.095787,0.0
-51.300573,50,507.420456,0.0
-55.385026,50,509.951349,0.0
-58.952031,50,512.076727,0.0
-56.413731,50,514.226821,0.0
-56.265126,50,516.490191,0.0
-54.086933,50,518.954627,0.0
-51.303422,50,521.221789,0.0
-55.207837,50,523.60839,0.0
-53.248117,50,526.16661,0.0
-54.895657,50,528.380086,0.0
-54.032979,50,530.638894,0.0
-57.937746,50,533.047636,0.0
-54.822327,50,535.349813,0.0
-54.865014,50,537.819192,0.0
-60.929484,50,540.161442,0.0
-52.563812,50,542.649336,0.0
-56.92103,50,544.952034,0.0
-58.171622,50,547.261808,0.0
-57.741966,50,549.789055,0.0
-54.384269,50,552.438568,0.0
-53.240175,50,554.846852,0.0
-6.976493,50,557.514686,1.0
-55.906828,50,559.792472,0.0
-54.260078,50,562.410415,0.0
-56.750861,50,564.894061,0.0
-55.274975,50,567.426711,0.0
-58.712973,50,569.7371,0.0
-56.412691,50,571.962956,0.0
-56.94615,50,574.043408,0.0
-53.312921,50,576.326047,0.0
-58.18024,50,578.508252,0.0
