#{"t_start": 1649333399.290598, "env_id": "PandaPickAndPlaceCluttered-v1"}
r,l,t,is_success
-55.0,50,14.553319,0.0
-54.0,50,14.753827,0.0
-52.0,50,27.572506,0.0
-50.0,50,40.16579,0.0
-50.0,50,53.442111,0.0
-54.0,50,67.008805,0.0
-66.0,50,81.030188,0.0
-50.0,50,94.807467,0.0
-50.0,50,108.21192,0.0
-52.0,50,122.985697,0.0
-50.0,50,137.013827,0.0
-58.0,50,150.631622,0.0
-64.0,50,165.35813,0.0
-50.0,50,179.120683,0.0
-50.0,50,192.759367,0.0
-50.0,50,205.893721,0.0
-50.0,50,218.270391,0.0
-50.0,50,231.047418,0.0
