#{"t_start": 1649335662.497031, "env_id": "PandaPickAndPlaceCluttered-v1"}
r,l,t,is_success
-50.0,50,12.876502,0.0
-50.0,50,13.042381,0.0
-51.0,50,23.386393,0.0
-50.0,50,35.818014,0.0
-50.0,50,47.478057,0.0
-50.0,50,59.69663,0.0
-52.0,50,72.251937,0.0
-50.0,50,84.042019,0.0
-50.0,50,96.699549,0.0
-50.0,50,107.486308,0.0
-50.0,50,118.886755,0.0
-50.0,50,130.706599,0.0
-50.0,50,142.467504,0.0
-50.0,50,153.42189,0.0
-50.0,50,164.057878,0.0
-50.0,50,174.762945,0.0
-50.0,50,185.543087,0.0
-50.0,50,197.542258,0.0
-50.0,50,207.479686,0.0
-50.0,50,218.320767,0.0
-50.0,50,228.968104,0.0
-50.0,50,241.058192,0.0
-50.0,50,253.272505,0.0
-50.0,50,264.941441,0.0
-50.0,50,276.898027,0.0
-50.0,50,288.378226,0.0
-50.0,50,300.275061,0.0
-50.0,50,312.183766,0.0
-50.0,50,324.07043,0.0
-50.0,50,335.974297,0.0
-50.0,50,348.045052,0.0
-50.0,50,359.79112,0.0
-50.0,50,370.712379,0.0
-50.0,50,380.864403,0.0
-50.0,50,391.776209,0.0
-50.0,50,403.303822,0.0
-50.0,50,414.025036,0.0
-50.0,50,424.967009,0.0
-50.0,50,435.194173,0.0
-50.0,50,446.203619,0.0
-50.0,50,457.759983,0.0
-50.0,50,468.807194,0.0
-50.0,50,481.118121,0.0
-50.0,50,492.902435,0.0
-50.0,50,504.745515,0.0
-50.0,50,517.429778,0.0
-50.0,50,529.342735,0.0
-50.0,50,540.652541,0.0
-50.0,50,552.708748,0.0
-50.0,50,564.392053,0.0
-50.0,50,575.137245,0.0
-50.0,50,585.221695,0.0
-50.0,50,595.670147,0.0
-50.0,50,604.879612,0.0
-50.0,50,612.168075,0.0
-50.0,50,619.202287,0.0
-50.0,50,626.011668,0.0
-50.0,50,633.055382,0.0
-50.0,50,640.516491,0.0
-50.0,50,649.093,0.0
-50.0,50,657.13489,0.0
-50.0,50,665.99344,0.0
-50.0,50,674.176171,0.0
-50.0,50,682.744676,0.0
-50.0,50,690.689789,0.0
-50.0,50,699.048023,0.0
