#{"t_start": 1650361652.885911, "env_id": "PandaPickAndPlaceClutteredMoreObj-v1"}
r,l,t,is_success
-60.062115,50,10.469671,0.0
-61.223332,50,10.732338,0.0
-57.058415,50,13.404487,0.0
-66.746581,50,15.892821,0.0
-63.523443,50,18.495434,0.0
-61.772331,50,21.041643,0.0
-60.567872,50,23.677851,0.0
-57.900813,50,26.131592,0.0
-60.547096,50,28.717264,0.0
-61.954875,50,31.240858,0.0
-58.232519,50,33.764007,0.0
-61.766104,50,36.356839,0.0
-61.307282,50,38.837128,0.0
-58.889431,50,41.478043,0.0
-60.558377,50,44.045991,0.0
-63.473311,50,46.478981,0.0
