#{"t_start": 1650532003.952011, "env_id": "PandaPickAndPlaceCluttered-v1"}
r,l,t,is_success
-60.654559,50,6.147091,0.0
-59.300283,50,6.308396,0.0
-61.433332,50,7.890407,0.0
-62.004463,50,9.343142,0.0
-58.835668,50,10.832388,0.0
-59.519479,50,12.314075,0.0
-58.107079,50,13.8165,0.0
-56.778148,50,15.339441,0.0
-67.374183,50,16.88572,0.0
-62.876359,50,18.489359,0.0
-62.712549,50,19.853753,0.0
-60.597429,50,21.260847,0.0
-64.336181,50,22.801751,0.0
-59.163967,50,24.376885,0.0
-62.685027,50,25.95998,0.0
-61.552655,50,27.437329,0.0
-71.058154,50,28.947363,0.0
-60.850772,50,30.499391,0.0
-64.620384,50,32.03951,0.0
-62.213934,50,33.436745,0.0
-60.53557,50,34.949404,0.0
-60.174425,50,36.57434,0.0
-68.292665,50,38.185236,0.0
-64.885454,50,39.737313,0.0
-54.810216,50,41.283409,0.0
-59.07422,50,42.891462,0.0
-58.229572,50,44.391557,0.0
-59.562576,50,45.921964,0.0
-66.728066,50,47.605109,0.0
-60.433045,50,49.178405,0.0
-59.423399,50,50.718069,0.0
-60.936611,50,52.310178,0.0
-58.714563,50,53.874112,0.0
-57.7426,50,55.476663,0.0
-60.142495,50,57.075233,0.0
-62.53734,50,58.687698,0.0
-57.573959,50,60.31228,0.0
-59.880785,50,61.951652,0.0
-59.674901,50,63.544382,0.0
-57.098469,50,65.149135,0.0
-54.642878,50,66.797158,0.0
-58.8971,50,68.496548,0.0
-64.259414,50,70.06116,0.0
-57.588551,50,71.585583,0.0
-56.043129,50,73.140551,0.0
-66.66447,50,74.730885,0.0
-61.64998,50,76.287586,0.0
-61.739037,50,77.793622,0.0
-56.466511,50,79.420151,0.0
-62.754912,50,80.930681,0.0
-56.022667,50,82.464019,0.0
-61.56478,50,84.062607,0.0
-58.574111,50,85.640857,0.0
-60.455582,50,87.389134,0.0
-62.013087,50,88.892331,0.0
-59.959955,50,90.462973,0.0
-60.721957,50,92.006642,0.0
-55.664354,50,93.648475,0.0
-57.94183,50,95.278466,0.0
-57.360155,50,96.875883,0.0
-58.942299,50,98.539349,0.0
-66.041128,50,100.075635,0.0
-55.020003,50,101.651688,0.0
-57.84049,50,103.200376,0.0
-62.518753,50,104.71132,0.0
-62.355577,50,106.245382,0.0
-71.943834,50,107.825851,0.0
-59.257629,50,109.419589,0.0
-57.799558,50,111.041463,0.0
-57.163128,50,112.621841,0.0
-62.50298,50,114.274324,0.0
-62.368504,50,115.82483,0.0
-61.411945,50,117.462585,0.0
-66.000156,50,118.999858,0.0
-60.272919,50,120.531739,0.0
-62.612097,50,122.019001,0.0
-61.854403,50,123.533117,0.0
-57.712945,50,125.075915,0.0
-58.154589,50,126.727098,0.0
-57.124929,50,128.248232,0.0
-72.811829,50,129.750208,0.0
-58.016468,50,131.349014,0.0
-70.732911,50,132.785543,0.0
-55.476783,50,134.214075,0.0
-67.080831,50,135.894333,0.0
-61.062031,50,137.457512,0.0
-60.378139,50,139.058345,0.0
-69.353403,50,140.592541,0.0
-58.939868,50,142.250293,0.0
-56.960443,50,143.881927,0.0
-56.70856,50,145.427449,0.0
-58.059226,50,146.962203,0.0
-57.304817,50,148.581977,0.0
-66.050529,50,150.162092,0.0
-68.613283,50,151.818926,0.0
-55.755011,50,153.440497,0.0
-57.087088,50,155.065324,0.0
-58.076008,50,156.651274,0.0
-56.992709,50,158.210346,0.0
-57.738856,50,159.792733,0.0
-64.29666,50,161.37427,0.0
-58.734273,50,163.058076,0.0
-57.672613,50,164.685026,0.0
-63.374047,50,166.331441,0.0
-58.372234,50,167.980816,0.0
-61.067992,50,169.542812,0.0
-73.862491,50,171.13827,0.0
-70.470595,50,172.801163,0.0
-89.30393,50,174.388596,0.0
-75.803157,50,175.994109,0.0
-60.526058,50,177.618028,0.0
-69.10477,50,179.397125,0.0
-58.587515,50,181.06363,0.0
-67.383368,50,182.643693,0.0
-63.506648,50,184.27464,0.0
-58.432224,50,185.956208,0.0
-56.271681,50,187.627833,0.0
-57.504452,50,189.318594,0.0
-55.610276,50,190.882434,0.0
-59.517006,50,192.422647,0.0
-64.2062,50,193.984946,0.0
-65.268015,50,195.517932,0.0
-60.062668,50,197.108253,0.0
-60.901285,50,198.729322,0.0
-70.665395,50,200.261955,0.0
-63.481069,50,201.823595,0.0
-63.256777,50,203.459747,0.0
-58.106311,50,205.175604,0.0
-58.806794,50,206.74183,0.0
-67.064568,50,208.284441,0.0
-63.16759,50,209.84979,0.0
-73.678842,50,211.337348,0.0
-55.96381,50,212.930903,0.0
