#{"t_start": 1649684147.2954543, "env_id": "PandaPickAndPlaceCluttered-v1"}
r,l,t,is_success
-105.0,50,4.177802,0.0
-104.0,50,4.325203,0.0
-107.0,50,5.869568,0.0
-100.0,50,7.308753,0.0
-100.0,50,8.719397,0.0
-106.0,50,10.139818,0.0
-112.0,50,11.595568,0.0
-99.0,50,13.025403,0.0
-100.0,50,14.501684,0.0
-100.0,50,16.077169,0.0
-112.0,50,17.589317,0.0
-110.0,50,19.091451,0.0
-107.0,50,20.636097,0.0
-100.0,50,22.155472,0.0
-103.0,50,23.666052,0.0
-100.0,50,25.186724,0.0
-100.0,50,26.698406,0.0
-100.0,50,28.227569,0.0
-109.0,50,29.747967,0.0
-100.0,50,31.272432,0.0
-101.0,50,32.793575,0.0
-126.0,50,34.359781,0.0
-100.0,50,35.870734,0.0
-100.0,50,37.361462,0.0
-100.0,50,38.797102,0.0
-103.0,50,40.228013,0.0
-100.0,50,41.697853,0.0
-105.0,50,43.158233,0.0
-100.0,50,44.546959,0.0
-100.0,50,46.043226,0.0
-100.0,50,47.482148,0.0
-111.0,50,48.922247,0.0
-100.0,50,50.373717,0.0
-100.0,50,51.782235,0.0
-100.0,50,53.20927,0.0
-100.0,50,54.632847,0.0
-125.0,50,56.09103,0.0
-100.0,50,57.510808,0.0
-100.0,50,58.930205,0.0
-110.0,50,60.522776,0.0
-100.0,50,61.958168,0.0
-100.0,50,63.393958,0.0
-100.0,50,64.811878,0.0
-100.0,50,66.250971,0.0
-100.0,50,67.655352,0.0
-104.0,50,69.187381,0.0
-105.0,50,70.705839,0.0
-100.0,50,72.146973,0.0
-100.0,50,73.591375,0.0
-100.0,50,75.003289,0.0
-100.0,50,76.3977,0.0
-100.0,50,77.885805,0.0
-97.0,50,79.409012,0.0
-109.0,50,80.921198,0.0
-100.0,50,82.461804,0.0
-100.0,50,83.962764,0.0
-100.0,50,85.448319,0.0
-100.0,50,86.924559,0.0
-100.0,50,88.425307,0.0
-100.0,50,89.885575,0.0
-100.0,50,91.405786,0.0
-100.0,50,93.157048,0.0
-100.0,50,94.589832,0.0
-100.0,50,96.069102,0.0
-100.0,50,97.522559,0.0
-100.0,50,99.009424,0.0
-105.0,50,100.474948,0.0
-100.0,50,101.931782,0.0
-100.0,50,103.430727,0.0
-100.0,50,104.915529,0.0
-100.0,50,106.388914,0.0
-100.0,50,107.867496,0.0
-100.0,50,109.3647,0.0
-100.0,50,110.884463,0.0
-100.0,50,112.376127,0.0
-104.0,50,113.856613,0.0
-100.0,50,115.377094,0.0
-100.0,50,116.899171,0.0
-102.0,50,118.476576,0.0
-100.0,50,120.044281,0.0
-100.0,50,121.532751,0.0
-106.0,50,123.154701,0.0
-116.0,50,125.373685,0.0
-100.0,50,128.937818,0.0
-100.0,50,132.532786,0.0
-100.0,50,135.763914,0.0
-100.0,50,139.374108,0.0
-100.0,50,142.236037,0.0
-100.0,50,144.978923,0.0
-100.0,50,147.836026,0.0
-100.0,50,150.850947,0.0
-103.0,50,153.779736,0.0
-100.0,50,156.592654,0.0
-100.0,50,159.632898,0.0
-100.0,50,162.436077,0.0
-100.0,50,165.579361,0.0
-104.0,50,168.443572,0.0
-100.0,50,171.208049,0.0
-107.0,50,174.360416,0.0
-100.0,50,177.414265,0.0
-100.0,50,180.439454,0.0
-127.0,50,183.46107,0.0
-100.0,50,186.869235,0.0
-100.0,50,190.276222,0.0
-104.0,50,193.79741,0.0
-100.0,50,196.584498,0.0
-100.0,50,199.401283,0.0
-100.0,50,202.032099,0.0
-101.0,50,204.873189,0.0
-100.0,50,207.822631,0.0
-100.0,50,210.494157,0.0
-107.0,50,212.962054,0.0
-100.0,50,215.951643,0.0
-100.0,50,218.863319,0.0
-100.0,50,221.388079,0.0
-104.0,50,224.796677,0.0
-100.0,50,228.28173,0.0
-100.0,50,231.942262,0.0
-100.0,50,234.833026,0.0
-100.0,50,237.868043,0.0
