#{"t_start": 1651046531.7080755, "env_id": "PandaPickAndPlaceClutteredMoreObj-v1"}
r,l,t,is_success
-54.883709,50,9.374323,0.0
-53.049446,50,9.661841,0.0
-54.670113,50,12.806508,0.0
-55.634874,50,15.667096,0.0
-56.41906,50,18.60171,0.0
-53.814924,50,21.51901,0.0
-56.294974,50,24.461079,0.0
-56.514767,50,27.469388,0.0
-55.141617,50,30.374247,0.0
-56.892761,50,33.385944,0.0
-53.043821,50,36.322387,0.0
-53.924394,50,39.313266,0.0
-53.880933,50,42.226823,0.0
-53.706583,50,45.089047,0.0
-55.234802,50,48.120325,0.0
-58.021186,50,51.075816,0.0
-54.816733,50,54.028895,0.0
-57.450516,50,57.041089,0.0
-55.32235,50,60.024768,0.0
-58.420363,50,63.090764,0.0
-58.608374,50,66.001818,0.0
-55.020591,50,68.923653,0.0
-58.503687,50,71.90239,0.0
-57.444462,50,74.82253,0.0
-57.833835,50,77.771488,0.0
-59.12122,50,80.687786,0.0
-59.149081,50,83.571892,0.0
-54.334774,50,86.495798,0.0
-58.700288,50,89.497376,0.0
-54.869224,50,92.460952,0.0
-55.040422,50,95.274231,0.0
-55.211044,50,98.178948,0.0
-57.913797,50,101.075743,0.0
-55.814732,50,103.852799,0.0
-54.170629,50,106.753294,0.0
-55.761283,50,109.644655,0.0
-55.394169,50,112.628281,0.0
-53.11718,50,115.536902,0.0
-55.811655,50,118.558901,0.0
-55.271041,50,121.537388,0.0
-53.845449,50,124.428456,0.0
-56.860061,50,127.429945,0.0
-53.009028,50,130.417489,0.0
-53.650495,50,133.362823,0.0
-59.677004,50,136.323115,0.0
-53.743878,50,139.260176,0.0
-54.861448,50,142.169239,0.0
-54.265422,50,145.15468,0.0
-55.681578,50,148.094252,0.0
-54.081417,50,151.064814,0.0
-53.869139,50,153.54509,0.0
-54.225825,50,156.457737,0.0
-56.707933,50,159.434924,0.0
-53.428779,50,162.460085,0.0
