#{"t_start": 1650196425.5539286, "env_id": "PandaStack-v1"}
r,l,t,is_success
-100.0,100,8.867414,0.0
-40.0,100,12.357973,1.0
-100.0,100,15.766644,0.0
0.0,100,19.103029,1.0
-69.0,100,22.459831,1.0
-100.0,100,26.022238,0.0
0.0,100,29.740579,1.0
-100.0,100,33.314558,0.0
-82.0,100,36.765509,1.0
-100.0,100,40.251896,0.0
-100.0,100,43.739981,0.0
-100.0,100,47.370761,0.0
-100.0,100,50.752757,0.0
0.0,100,54.346229,1.0
-100.0,100,57.79053,0.0
-100.0,100,61.301092,0.0
-100.0,100,64.813497,0.0
0.0,100,68.293002,1.0
-16.0,100,72.024814,0.0
-100.0,100,75.448695,0.0
-100.0,100,78.969587,0.0
-100.0,100,82.406638,0.0
-61.0,100,86.175246,0.0
-44.0,100,90.012608,1.0
-89.0,100,93.538981,0.0
-100.0,100,97.052984,0.0
-92.0,100,100.683096,0.0
-100.0,100,104.400146,0.0
0.0,100,107.623979,1.0
-100.0,100,111.180343,0.0
-100.0,100,114.87942,0.0
