#{"t_start": 1651776685.1204877, "env_id": "PandaStack-v1"}
r,l,t,is_success
-46.985084,100,6.642051,0.0
-27.829309,100,13.504214,0.0
-52.697568,100,20.534066,0.0
-51.750581,100,26.97601,0.0
-36.328206,100,33.862213,0.0
-55.935908,100,40.870672,0.0
-61.608156,100,47.586522,0.0
-37.291566,100,54.543278,0.0
-58.467062,100,61.447135,0.0
-37.605278,100,68.484401,0.0
-52.739756,100,75.3517,0.0
-48.325075,100,82.236542,0.0
-57.562091,100,89.014544,0.0
-46.288133,100,96.116069,0.0
-40.004026,100,103.17186,0.0
-34.082553,100,111.588047,0.0
-24.993869,100,120.042782,0.0
-32.406248,100,128.327234,0.0
-71.359877,100,136.705425,0.0
-41.162312,100,144.199515,0.0
-32.997132,100,151.14718,0.0
-54.163024,100,158.245249,0.0
-45.47935,100,165.191876,0.0
-48.457302,100,172.302308,0.0
-26.762584,100,179.227415,0.0
-46.519925,100,186.258963,0.0
-47.33477,100,193.24645,0.0
-63.455923,100,200.212191,0.0
-25.651784,100,206.863208,0.0
-35.274439,100,214.055629,0.0
-30.928043,100,221.107381,0.0
-43.817483,100,228.180652,0.0
-40.175736,100,235.118638,0.0
-52.678399,100,242.138051,0.0
-36.061728,100,249.325409,0.0
-36.65758,100,256.420146,0.0
-40.8138,100,263.524659,0.0
-42.236282,100,270.54249,0.0
-50.241261,100,277.599547,0.0
-53.124445,100,284.832281,0.0
-34.551427,100,292.04453,0.0
-42.135761,100,299.147703,0.0
-33.333118,100,306.210744,0.0
-50.396867,100,313.264745,0.0
-35.217982,100,320.298459,0.0
-42.2293,100,327.407606,0.0
-31.850311,100,334.524194,0.0
-63.655778,100,341.570233,0.0
-40.518536,100,348.544159,0.0
-56.856751,100,355.270247,0.0
-43.560506,100,362.305992,0.0
-33.783913,100,369.468368,0.0
-58.729003,100,376.405977,0.0
-35.900467,100,383.485317,0.0
-31.272592,100,390.622419,0.0
-48.966822,100,397.675542,0.0
-20.167698,100,404.795797,0.0
-33.0643,100,411.900517,0.0
-42.453957,100,419.113451,0.0
-38.439085,100,426.205641,0.0
-57.405948,100,433.249467,0.0
-88.815281,100,440.417509,0.0
-26.210928,100,447.633381,0.0
-65.181445,100,454.734793,0.0
-114.169911,100,461.663675,0.0
