#{"t_start": 1649673111.3921273, "env_id": "PandaPickAndPlaceCluttered-v1"}
r,l,t,is_success
-105.0,50,9.591504,0.0
-104.0,50,9.789605,0.0
-107.0,50,15.314978,0.0
-100.0,50,21.427556,0.0
-100.0,50,27.609705,0.0
-106.0,50,34.780935,0.0
-112.0,50,41.08045,0.0
-99.0,50,47.675051,0.0
-100.0,50,54.465658,0.0
-100.0,50,61.583316,0.0
-112.0,50,68.474626,0.0
-110.0,50,76.248876,0.0
-107.0,50,82.686656,0.0
-100.0,50,89.697277,0.0
-103.0,50,96.098377,0.0
-100.0,50,102.724741,0.0
-100.0,50,109.975379,0.0
-100.0,50,116.522891,0.0
-109.0,50,123.0502,0.0
-100.0,50,128.946798,0.0
-101.0,50,135.019755,0.0
-126.0,50,140.808855,0.0
-100.0,50,146.693399,0.0
-100.0,50,152.622683,0.0
-100.0,50,158.671621,0.0
-103.0,50,164.583124,0.0
-100.0,50,170.620386,0.0
-105.0,50,177.098305,0.0
-100.0,50,183.70811,0.0
-100.0,50,190.882971,0.0
-100.0,50,197.429846,0.0
-111.0,50,204.008017,0.0
-100.0,50,211.048176,0.0
-100.0,50,218.367759,0.0
-100.0,50,224.75873,0.0
